name,created_at,updated_at,midpoint_fom_20220315,baseline_fom_20220315,skylab_uuid
1649420297_shape_20220408_11.47.44_5c6b,2022-04-08T12:20:37.460788,2022-05-25T19:33:40.984089,-11.179959976893707,-4.634816430047381,a929ff2a-9e67-4a10-8720-01393149f34d
1649949261_shape_20220414_14.42.56_5c6b,2022-04-14T15:16:43.383894,2022-05-25T19:33:47.370777,-13.047306499617026,-13.841064427046309,a93e124b-17b9-4391-836c-d202b515ee6f
1651511461_shape_20220502_16.34.15_5c6b,2022-05-02T17:13:39.294619,2022-05-25T19:33:52.687056,-10.457314637407233,-10.402100239612528,a946b1aa-82c9-42b7-8e68-937dad4847d0
1647843584_shape_20220321_03.53.24_5c6b,2022-03-21T06:23:31.594099,2022-05-25T19:33:58.026859,-20.35445234705795,-2.9539312262872253,a9a8ade2-00c8-40c8-86b7-81022984e94c
1647556468_shape_20220317_21.34.48_5c6b,2022-03-17T22:38:18.535622,2022-05-25T19:34:02.733069,-12.045290128437738,-5.342659531447773,a9d8c8e8-af5c-4c14-b7b2-bb9b94f22de2
1651608289_shape_20220503_19.31.56_5c6b,2022-05-03T20:07:31.194138,2022-05-25T19:34:08.428185,-11.96098472284141,-11.683298769996613,a9edfbd3-8e98-4bcd-a826-610080e8aa8c
1648096955_shape_20220324_03.40.10_5c6b,2022-03-24T04:46:31.974237,2022-05-25T19:34:13.712995,-51.52852684370899,-42.89215103284233,aa82b779-f11f-42b3-9e7f-34493d4e580f
1642768218_shape_20211207_11.45.57_5c6b,2022-01-21T12:32:41.642632,2022-05-25T19:34:19.157408,-90.35741802667339,-81.1976407218519,aae0e246-38e8-4d05-bf91-888fd0cacc7e
1647561685_shape_20220317_23.12.09_5c6b,2022-03-18T00:05:22.396890,2022-05-25T19:34:24.663678,-27.073818741364235,-16.464471065577165,ab1cb622-ef8b-4219-af93-4546e9e556e5
1643171643_shape_20220126_03.55.41_5c6b,2022-01-26T04:38:23.498981,2022-05-25T19:34:29.469787,-187.28810725580792,-177.00621009334807,abe3343a-109f-457a-bd60-3423fd145b39
1649847664_shape_20220413_10.29.43_5c6b,2022-04-13T11:03:26.272431,2022-05-25T19:34:34.538809,-11.62813486003974,-11.402604485723245,abfa3dae-df51-4c5d-9dc6-bdd938467b7c
1650092099_shape_20220416_06.22.03_5c6b,2022-04-16T06:57:15.540715,2022-05-25T19:34:41.000007,-11.380144899792818,-10.597908819705255,acaa9d83-befd-4049-b1c8-49544b7bcbe4
1647970363_shape_20220322_15.02.59_5c6b,2022-03-22T17:36:56.733857,2022-05-25T19:34:48.769038,-37.02188216646181,-22.163697102381047,acb28de4-caa8-48d4-a577-e0157588b823
